"Player","Team","Pos","Matchup","Carries","Rush YDs","Rush TDs","Targets","Receptions","Rec Yds","Rec TDs","Pass Attempts","Passing YDs","Passing TDs","Interceptions","Y/A","Sacks","Fumbles Lost","Team Total"
"Pat Freiermuth","PIT","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Will Dissly","LAC","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Calvin Austin III","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Cade Otton","TB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tucker Kraft","GB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Devaughn Vele","DEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Bucky Irving","TB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dontayvion Wicks","GB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jalen Nailor","MIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Sterling Shepard","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jaylen Warren","PIT","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Josh Jacobs","GB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Troy Franklin","DEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Aaron Jones","MIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"DJ Chark Jr.","LAC","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Van Jefferson","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Javonte Williams","DEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Najee Harris","PIT","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Mike Williams","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Stone Smartt","LAC","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Rachaad White","TB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Derius Davis","LAC","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"J.K. Dobbins","LAC","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Bo Melton","GB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Lucas Krull","DEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Lil'Jordan Humphrey","DEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Adam Trautman","DEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jaleel McLaughlin","DEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Darnell Washington","PIT","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Josh Oliver","MIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"New HOU WR","HOU","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Nate Adkins","DEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Malik Heath","GB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Luke Musgrave","GB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tucker Fisk","LAC","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Cordarrelle Patterson","PIT","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Cam Akers","MIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ryan Miller","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"MyCole Pruitt","PIT","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"MyCole Pruitt","PIT","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Sean Tucker","TB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Michael Burton","DEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Chris Brooks","GB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Rakim Jarrett","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Devin Culp","TB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Trey Palmer","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Connor Heyward","PIT","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Gus Edwards","LAC","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
