season,week,posteam,full_name,targets std,ypr std,catch rate std,rec std,rec yards std,rush std,rush yards std,ypc std,rec tds std,rush tds std,Pos,ypa std,pass attempt std,completions std,pass yards std,pass td std,int std
2024,17,DET,Allen Robinson,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
2024,19,TB,Mike Evans,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2022,15,NO,Jarvis Landry,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
2024,18,NYJ,Davante Adams,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2018,10,LV,Martavis Bryant,1.895984361,3.393466573,0.104867875,1.395576061,14.42632324,0.236361015,2.503553109,1.836118724,0.259018878,0.021101502,WR,0,0,0,0,0,0
2018,17,KC,Kelvin Benjamin,1.600409416,2.827763003,0.097515711,1.045306736,11.34915126,0.898881376,5.010558858,1.835366217,0.202288928,0.073949641,WR,0,0,0,0,0,0
2019,17,NYG,Cody Latimer,1.596516343,3.514549737,0.118743153,1.048591965,12.07065807,0.377634412,2.854902575,1.894773119,0.178523203,0.037971228,WR,0,0,0,0,0,0
2020,13,NE,Donte Moncrief,1.502202555,3.312280686,0.137882084,1.008671611,12.16788934,0.223241066,1.767149344,1.498355845,0.166746322,0,WR,0,0,0,0,0,0
2015,2,CAR,Kevin Norwood,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2018,14,DET,Bruce Ellington,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2022,19,BAL,Sammy Watkins,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2021,14,DEN,Diontae Spencer,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,8,IND,Devin Street,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2019,12,PHI,Jordan Matthews,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2016,16,CIN,James Wright,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2019,12,WAS,Paul Richardson,1.596516343,3.514549737,0.118743153,1.048591965,12.07065807,0.377634412,2.854902575,1.894773119,0.178523203,0.037971228,WR,0,0,0,0,0,0
2024,18,DAL,Brandin Cooks,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2024,14,MIA,Odell Beckham Jr.,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2019,12,CHI,Taylor Gabriel,1.626040751,2.040115163,0.103882942,1.319820005,15.28310953,0.128966675,0.976544468,0.814018212,0.253517317,0,WR,0,0,0,0,0,0
2019,2,NYG,T.J. Jones,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2020,4,CAR,Seth Roberts,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2016,17,CAR,Corey Brown,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2019,2,LV,Ryan Grant,1.582038682,3.666753881,0.120682587,1.058181333,14.41916814,0.267753815,2.175351912,1.757619499,0.17547294,0.029963353,WR,0,0,0,0,0,0
2019,17,BAL,De'Anthony Thomas,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2022,19,BUF,John Brown,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
2017,17,BAL,Michael Campanaro,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2019,1,NYJ,Quincy Enunwa,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2017,6,DET,Jared Abbrederis,1.724698575,3.721117006,0.129853873,1.118870352,15.27316427,0.329472655,3.335735271,2.038704811,0.192255537,0.044328529,WR,0,0,0,0,0,0
2017,17,GB,Jeff Janis,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,16,TB,Josh Huff,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2019,16,MIA,Allen Hurns,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2017,18,NO,Brandon Coleman,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2018,1,TB,Freddie Martino,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,12,LAC,Jeremy Butler,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2020,5,NO,Bennie Fowler,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2021,15,MIA,Albert Wilson,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2023,16,SF,Willie Snead,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2020,18,CHI,Cordarrelle Patterson,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2024,22,KC,DeAndre Hopkins,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2014,17,JAX,Ace Sanders,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2013,16,JAX,Denard Robinson,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2018,2,DAL,Terrance Williams,1.791396519,3.331962589,0.124185825,1.219657883,12.77788066,0.278314544,1.530133556,1.061166448,0.183926878,0.033486881,WR,0,0,0,0,0,0
2015,9,LA,Stedman Bailey,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2021,17,JAX,Tavon Austin,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2018,13,PIT,Justin Hunter,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
2018,15,MIA,Brice Butler,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2017,17,CHI,Markus Wheaton,1.791396519,3.331962589,0.124185825,1.219657883,12.77788066,0.278314544,1.530133556,1.061166448,0.183926878,0.033486881,WR,0,0,0,0,0,0
2016,15,SF,Quinton Patton,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2024,19,HOU,Robert Woods,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2015,10,BAL,Marlon Brown,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2019,17,SEA,Jaron Brown,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2017,17,HOU,Cobi Hamilton,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2024,18,CHI,Keenan Allen,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
